0,1,2,3,4,5,6,7,0
49,44,45,22,5,0,51,22,0
44,52,41,23,5,0,51,22,0
41,53,41,15,5,0,54,25,0
48,54,5,17,5,0,53,22,0
46,48,44,21,5,0,55,22,0
55,49,45,18,5,0,49,22,0
46,47,46,16,5,0,51,22,0
48,35,42,21,5,0,57,22,0
48,39,49,18,5,0,51,22,0
43,44,48,22,5,0,51,22,0
37,41,45,14,5,0,47,22,0
48,42,48,19,5,0,58,22,0
57,51,34,13,5,0,53,27,0
46,41,45,23,5,0,48,22,0
57,54,32,15,5,0,52,25,0
49,43,48,15,5,0,55,25,0
33,46,6,18,5,0,51,26,0
59,57,43,26,5,0,51,22,0
53,49,47,21,5,0,53,22,0
52,45,45,13,5,0,48,22,0
63,62,42,12,5,0,52,25,0
51,46,49,21,5,0,55,22,0
46,49,45,28,5,0,55,22,0
53,44,47,22,5,0,53,22,0
69,61,38,27,5,0,52,22,0
65,63,47,22,5,0,52,27,0
46,38,47,22,5,0,52,27,0
43,47,47,18,5,0,47,22,0
54,42,41,16,5,0,52,22,0
31,45,5,17,5,0,49,22,0
51,48,46,29,5,0,54,22,0
59,61,34,22,5,0,51,22,0
57,59,44,16,5,0,52,22,0
49,38,49,15,5,0,53,25,0
53,51,46,28,5,0,48,22,0
34,54,5,21,5,0,54,31,0
49,45,46,18,5,0,49,31,0
56,52,48,17,5,0,46,22,0
45,51,43,22,5,0,57,22,0
49,48,51,21,5,0,53,22,0
53,54,43,18,5,0,53,31,0
46,42,51,16,5,0,56,22,0
57,49,48,16,5,0,51,22,0
59,51,47,21,5,0,47,22,0
47,47,5,19,5,0,51,26,0
46,43,38,33,5,0,48,28,0
37,42,6,13,5,0,51,22,0
45,45,52,17,5,0,54,22,0
43,46,5,21,5,0,49,34,0
56,49,47,13,5,0,52,22,0
67,57,36,19,5,0,56,22,0
49,44,51,18,5,0,52,27,0
48,44,51,24,5,0,49,22,0
6,47,45,22,5,0,51,29,0
4,53,44,18,5,0,54,31,0
37,53,46,23,5,0,47,22,0
51,48,51,19,5,0,51,27,0
53,43,47,15,5,0,58,22,0
49,43,51,13,5,0,47,22,0
47,43,48,16,5,0,46,27,0
64,62,29,28,5,0,51,22,0
51,43,47,19,5,0,52,37,0
55,56,45,14,5,0,54,22,0
49,49,52,18,5,0,51,25,0
34,42,48,19,5,0,46,31,0
51,34,49,16,5,0,53,21,0
38,47,47,18,5,0,44,26,0
51,34,43,18,5,0,48,25,0
53,48,51,18,5,0,51,27,0
46,47,44,18,10,0,46,22,0
58,56,46,14,5,0,51,22,0
38,58,46,21,5,0,52,22,0
58,43,32,11,5,0,49,22,0
59,58,46,19,5,0,56,27,0
49,6,42,18,5,0,58,28,0
41,52,41,11,5,0,54,35,0
34,38,45,19,5,0,51,22,0
52,37,48,13,5,0,55,22,0
53,48,51,18,5,0,52,27,0
48,42,52,24,5,0,56,22,0
5,49,46,22,5,0,53,25,0
53,52,49,27,5,0,51,22,0
56,59,45,15,5,0,54,22,0
46,46,53,23,5,0,51,22,0
47,59,37,31,5,0,51,36,0
37,58,5,22,5,0,47,22,0
47,56,46,5,5,0,51,22,0
57,47,48,17,5,0,52,26,0
52,64,34,16,5,0,57,22,0
44,49,49,27,5,0,52,22,0
32,48,49,17,5,0,47,22,0
59,57,46,14,5,0,52,22,0
41,41,51,19,5,0,57,22,0
48,39,51,21,5,0,52,28,0
56,71,47,21,5,0,52,22,0
54,48,44,8,5,0,52,27,0
53,42,53,19,5,0,47,22,0
71,56,39,27,5,0,52,22,0
58,56,45,12,5,0,51,22,0
69,66,36,9,5,0,56,22,0
44,42,6,21,5,0,57,22,0
44,41,44,13,5,0,49,42,0
43,45,53,19,5,0,56,22,0
62,58,46,13,5,0,53,22,0
66,55,45,19,5,0,46,22,0
38,42,5,19,5,0,44,22,0
38,42,5,19,5,0,44,22,0
5,46,52,16,5,0,52,26,0
42,46,44,17,5,0,51,42,0
41,49,47,9,5,0,49,22,0
4,47,48,18,5,0,46,22,0
43,51,6,25,5,0,55,22,0
56,42,52,14,5,0,51,22,0
7,53,42,22,5,0,51,28,0
42,32,48,16,5,0,55,22,0
53,53,6,13,5,0,49,22,0
72,61,37,3,5,0,57,22,0
43,38,51,24,5,0,46,33,0
37,42,46,15,5,0,51,31,0
49,47,53,16,5,0,48,27,0
57,44,42,2,5,0,54,22,0
49,47,52,16,5,0,53,28,0
44,44,49,15,5,0,46,27,0
34,46,52,19,5,0,53,26,0
64,62,49,15,5,0,53,22,0
36,68,38,8,5,0,53,25,0
4,66,34,21,5,0,52,26,0
54,38,52,18,5,0,48,22,0
57,37,43,27,5,0,53,28,0
5,45,51,19,5,0,53,25,0
39,58,47,18,5,0,48,22,0
55,52,44,2,5,0,56,22,0
33,38,45,19,5,0,54,37,0
47,46,49,27,5,0,59,22,0
39,35,49,17,5,0,49,22,0
46,33,45,22,5,0,41,37,0
41,45,53,17,5,0,51,25,0
37,46,4,27,5,0,45,22,0
46,43,5,24,5,0,48,31,0
63,64,45,26,5,0,43,22,0
